"spp" "k1" "k2" "safety" "kobe.n" "yield" "yieldAav"
"brill" 0.797784320777282 0.612245766445994 0.747742929038581 0.7 0.925067091875463 0.908266921678729
"brill" 0.167569475946948 0.378239786950871 0.633512585037733 0.1 0.905799751812953 0.960619837238308
"brill" 0.395910402294248 0.719339353963733 0.530905747935354 0.3 0.939702903108838 0.855185487911496
"brill" 0.0385536893736571 0.875181535026059 0.62198280413795 0.05 0.971707923917509 0.930653689169098
"brill" 0.659447520039976 0.387724161613733 0.689157664906506 0.825 0.844454379489682 0.920833793453107
"brill" 0.311468526255339 0.750278081512079 0.541871479143182 0.125 1.06773836405508 0.891139762038886
"brill" 0.189569148235023 0.0205276987981051 0.798704964944693 0.875 0.770692783165486 0.990965144200231
"brill" 0.626071313861758 0.88765852083452 0.640612025152514 0.15 1.05511805551618 0.893960623475797
"brill" 0.516718460246921 0.215458939084783 0.746154340259503 0.725 1.00311769572092 0.956983691982929
"brill" 0.927945728646591 0.234744360204786 0.827536209189171 0.95 0.670101379197452 0.948164795117084
"brill" 0.0583773816470057 0.191712903790176 0.579470183381771 0.55 0.933254601225067 0.970260132567069
"brill" 0.93788304599002 0.158538421150297 0.821936013286925 0.925 0.717518459843426 0.96620883454657
"brill" 0.797989129787311 0.700548938475549 0.595076013866168 0.55 0.923041140913367 0.911826122179048
"brill" 0.619334799004719 0.539041862823069 0.746963365519467 0.725 1.05240077731435 0.93091446230667
"brill" 0.367090744432062 0.450819307938218 0.632762930959088 0.375 0.969131516130789 0.934398771626779
"brill" 0.0581143693998456 0.177016720874235 0.652076291047917 0.55 0.955314031498048 0.979444257548042
"brill" 0.140639917925 0.188661770895123 0.648028278270629 0.6 0.936156590584005 0.976685795116041
"brill" 0.401357743656263 0.159699765266851 0.802436199370509 0.75 0.88051097690986 0.982064006176732
"brill" 0.068011581664905 0.29938768199645 0.523791757517131 0.175 0.936500317758452 0.960521574466599
"brill" 0.321577320806682 0.0371191040612757 0.556108336540104 0.525 0.747524780932459 0.975702923484389
"brill" 0.400231984211132 0.84597949241288 0.698426029419458 0.3 1.00091378680322 0.914077657269882
"brill" 0.195452195126563 0.799225785536692 0.58043771644931 0.225 0.981979599771631 0.884497340106787
"brill" 0.451480187708512 0.338916256092489 0.637269019193648 0.675 0.947226048582693 0.933353017151496
"brill" 0.59379402291961 0.657356712734327 0.650615757965046 0.025 1.03073027833368 0.935582533932549
"brill" 0.964729452272877 0.435847240267321 0.644042466669682 0.75 0.654821795367 0.916751848635046
"brill" 0.258174567250535 8.29976052045822e-05 0.441093342707997 0.625 0.627979678736533 0.970715800656567
"brill" 0.209855853114277 0.322011776501313 0.738177954281553 0.9 0.948548391597511 0.972944390873577
"brill" 0.622888441197574 0.28467901982367 0.837077307760346 0.95 0.889851768305312 0.961661485283193
"brill" 0.970139088807628 0.104143853066489 0.464197006450946 0.6 0.475664700879415 0.936014821220532
"brill" 0.548871447099373 0.921289715915918 0.573797139549906 0.3 0.977431707930183 0.813247622222172
"brill" 0.466953992610797 0.00692871678620577 0.820345444546545 0.95 0.740693702682286 0.980209225752674
"brill" 0.201341139152646 0.761530814692378 0.580888985899733 0 0.917331346812136 0.935423019880311
"brill" 0.0255142664536834 0.00998234422877431 0.667799026511865 0.475 1.03168344350656 0.990184534080175
"brill" 0.725887402193621 0.102126768557355 0.675381222741923 0.675 0.587112374145999 0.958725074579575
"brill" 0.905310009606183 0.727557125734165 0.685385152306913 0.525 1.01186409339636 0.919522956958567
"brill" 0.28245090553537 0.692292235558853 0.550223505116424 0.175 0.94955918722557 0.928429322611104
"brill" 0.402866402175277 0.63464384409599 0.613546089172532 0.4 0.949862861350643 0.882645348740965
"brill" 0.59613745007664 0.966970087727532 0.641623958244317 0.35 0.941801048115028 0.827891082385236
"brill" 0.426746039884165 0.76600995589979 0.512131283421194 0.025 0.916322471297561 0.90954056064649
"brill" 0.612111215712503 0.860058339778334 0.594643168667147 0.275 0.958944425374182 0.850487572122794
"brill" 0.509237387450412 0.944284466095269 0.63461028187225 0.3 0.977475294980317 0.849062473364395
"brill" 0.427807819563895 0.51379921217449 0.633419481351715 0.55 0.961158871690935 0.933633992452316
"brill" 0.313961758976802 0.0235767289996147 0.824511862596434 0.75 1.06468448988364 0.985394723144352
"brill" 0.889894749503583 0.930826782016084 0.641034457356928 0.625 0.852326963730707 0.859202872891703
"brill" 0.230285685043782 0.879240292357281 0.544602228703009 0.075 0.91824029126747 0.905178020084504
"brill" 0.880848648259416 0.786496788496152 0.677445083534176 0.4 0.830897466835587 0.875755187711642
"brill" 0.0604224894195795 0.309129399480298 0.582513025839757 0.625 0.907954738718284 0.950443143414511
"brill" 0.903628521366045 0.664269166998565 0.653441114238283 0.75 0.900859692223902 0.902534545942994
"brill" 0.661719572730362 0.914842447265983 0.572455941951173 0.175 0.931438318092585 0.868761944826427
"brill" 0.713792857713997 0.398884959286079 0.600647676178011 0.775 0.72163185464214 0.937386699099446
"brill" 0.804657820845023 0.916215185075998 0.635712196732706 0.7 0.859618683120518 0.878838336008359
"brill" 0.0355338726658374 0.539159683510661 0.568390042031921 0.05 0.930191736473346 0.913840256621272
"brill" 0.471381018403918 0.420661576325074 0.609860342529455 0.1 0.988472131541648 0.938599867107521
"brill" 0.669429686386138 0.0730576554778963 0.81673409161419 0.825 0.676114392564711 0.975198877410316
"brill" 0.76605772622861 0.534955067094415 0.674577187456619 0.7 0.823974969146794 0.917127158717845
"brill" 0.0747797712683678 0.839083577040583 0.565352395260937 0 0.972862157220796 0.920787326329629
"brill" 0.993836551206186 0.252238367917016 0.711993118146028 0.775 0.663486748539982 0.947365536132431
"brill" 0.518188222311437 0.446547813713551 0.647410953986368 0.75 0.825925405823828 0.930410320726534
"brill" 0.829661675030366 0.102471181191504 0.650844027688983 0.675 0.72592392623612 0.961285132362213
"brill" 0.636695308843628 0.815769892884418 0.636332433086676 0.4 0.972609663439114 0.868193147263711
"brill" 0.234845351893455 0.940819919807836 0.548721717566207 0.2 1.01311824736176 0.847308124675394
"brill" 0.75766039872542 0.398860934656113 0.757642821347953 0.725 0.846563635665851 0.943712702668141
"brill" 0.519444841425866 0.284859112929553 0.814612226172453 0.8 0.802736223717786 0.950155537550762
"brill" 0.242003661813214 0.489011130761355 0.60501561644289 0.525 0.923496311340092 0.946393259427553
